"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
125,"NCT04072445","Trifluridine/Tipiracil and Irinotecan for the Treatment of Advanced Refractory Biliary Tract Cancer",,"Active, not recruiting","Has Results","Advanced Bile Duct Carcinoma|Advanced Gallbladder Carcinoma|Refractory Bile Duct Carcinoma|Refractory Gallbladder Carcinoma|Stage III Distal Bile Duct Cancer AJCC v8|Stage III Gallbladder Cancer AJCC v8|Stage III Intrahepatic Bile Duct Cancer AJCC v8|Stage IIIA Distal Bile Duct Cancer AJCC v8|Stage IIIA Gallbladder Cancer AJCC v8|Stage IIIA Intrahepatic Bile Duct Cancer AJCC v8|Stage IIIB Distal Bile Duct Cancer AJCC v8|Stage IIIB Gallbladder Cancer AJCC v8|Stage IIIB Intrahepatic Bile Duct Cancer AJCC v8|Stage IV Distal Bile Duct Cancer AJCC v8|Stage IV Gallbladder Cancer AJCC v8|Stage IV Intrahepatic Bile Duct Cancer AJCC v8|Stage IVA Gallbladder Cancer AJCC v8|Stage IVB Gallbladder Cancer AJCC v8","Drug: Irinotecan|Drug: Irinotecan Hydrochloride|Drug: Trifluridine and Tipiracil Hydrochloride","Progression-free Survival (PFS)|Overall Response Rate (ORR)|Disease Control Rate (DCR)|PFS|Overall Survival (OS)|Number of Participants With Adverse Events","Mayo Clinic|National Cancer Institute (NCI)|National Comprehensive Cancer Network","All","18 Years and older   (Adult, Older Adult)","Phase 2","28","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MC1941|NCI-2019-05653","October 18, 2019","August 13, 2021","May 15, 2023","August 28, 2019","September 22, 2022","January 9, 2023","Mayo Clinic, Rochester, Minnesota, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/45/NCT04072445/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT04072445"
126,"NCT05772767","Modulation of Ciliogenesis in Glioma Stem Cells","RF2019-1236878","Recruiting","No Results Available","Glioblastoma|Glioma, Malignant","Other: Biological sample collection|Other: Dissecting ciliogenesis players|Diagnostic Test: Validating ciliogenesis players","Biological","Fondazione Policlinico Universitario Agostino Gemelli IRCCS|Istituto Superiore di Sanità|Fondazione C.N.R./Regione Toscana ""G. Monasterio"", Pisa, Italy","All","18 Years and older   (Adult, Older Adult)","Not Applicable","80","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","3782","February 15, 2021","February 28, 2024","February 28, 2024","March 16, 2023",,"March 16, 2023","Fondazione Policlinico Universitario A. Gemelli IRCCS, Rome, Italy",,"https://ClinicalTrials.gov/show/NCT05772767"
127,"NCT04478877","Establishment and Characterization of Meningioma Patient-derived Organoids",,"Recruiting","No Results Available","Meningioma",,"Whole exome sequencing data|Immunostaining","Chinese University of Hong Kong","All","18 Years and older   (Adult, Older Adult)",,"30","Other","Observational","Observational Model: Other|Time Perspective: Prospective","GWMO01","May 23, 2020","December 31, 2023","December 31, 2023","July 21, 2020",,"March 9, 2022","Department of Surgery, The Chinese University of Hong Kong, Hong Kong, Hong Kong",,"https://ClinicalTrials.gov/show/NCT04478877"
128,"NCT05411107","Oral Iloprost for the Prevention of Lung Cancer In Former Smokers",,"Not yet recruiting","No Results Available","Bronchial Epithelial Dysplasia|Chronic Obstructive Pulmonary Disease|Lung Carcinoma|Stage I Lung Cancer AJCC v8|Stage II Lung Cancer AJCC v8|Tobacco-Related Carcinoma","Procedure: Biospecimen Collection|Procedure: Bronchial Brush Biopsy|Procedure: Bronchoscopy|Drug: Iloprost|Drug: Placebo Administration|Other: Questionnaire Administration","Change in numerical grade of the worst (highest grade on the WHO scale) dysplastic lesion per subject on bronchoscopy|Change in the average WHO score of all biopsy sites with a baseline score of 4 or greater|Incidence of adverse events with oral iloprost","National Cancer Institute (NCI)","All","50 Years and older   (Adult, Older Adult)","Phase 2","80","NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention","NCI-2022-04698|NCI21-08-01|NWU21-08-01|P30CA060553|UG1CA242643","December 1, 2023","December 1, 2026","December 1, 2026","June 9, 2022",,"March 14, 2023","Rocky Mountain Regional VA Medical Center, Aurora, Colorado, United States|University of Colorado, Denver, Colorado, United States|Northwestern University, Chicago, Illinois, United States|University of Pittsburgh Cancer Institute (UPCI), Pittsburgh, Pennsylvania, United States|Hunter Holmes McGuire Veterans Administration Medical Center, Richmond, Virginia, United States",,"https://ClinicalTrials.gov/show/NCT05411107"
129,"NCT03764553","Liposomal iRInotecan, Carboplatin or oXaliplatin for Esophagogastric Cancer","LyRICX","Recruiting","No Results Available","Esophageal Cancer","Drug: Liposomal Irinotecan|Drug: Carboplatin|Drug: Capecitabine|Drug: Oxaliplatin|Drug: 5-fluorouracil|Drug: Leucovorin","Progression free survival|Number of participants with treatment-related Neurotoxicity|Overall survival|response rate|adverse events|Quality of life (European Organization for Research and Treatment of Cancer Quality of Life Questionnaire (QLQ C30))|percentage subsequent treatment lines|the reasons for forgoing subsequent treatment","Academisch Medisch Centrum - Universiteit van Amsterdam (AMC-UvA)|Servier","All","18 Years and older   (Adult, Older Adult)","Phase 2","310","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2018_256","May 1, 2019","August 1, 2024","August 1, 2024","December 5, 2018",,"December 16, 2022","VieCuri, Venlo, Limburg, Netherlands|Jeroen Bosch Ziekenhuis, 's-Hertogenbosch, Netherlands|Meander MC, Amersfoort, Netherlands|Academic Medical Center, Medical Oncology, Amsterdam, Netherlands|Rijnstate Ziekenhuis, Arnhem, Netherlands|Amphia Ziekenhuis, Breda, Netherlands|Reinier de Graaf Gasthuis, Delft, Netherlands|Hagaziekenhuis, Den Haag, Netherlands|Catherina Ziekenhuis, Eindhoven, Netherlands|Admiraal de Ruijter Ziekenhuis, Goes, Netherlands|Treant zorggroep, Hoogeveen, Netherlands|VieCurie, Roermond, Netherlands|Laurentius Ziekenhuis, Roermond, Netherlands|Bravis ziekenhuis locatie Roosendaal, Roosendaal, Netherlands|UMCU, Utrecht, Netherlands",,"https://ClinicalTrials.gov/show/NCT03764553"
130,"NCT04753996","Characterization of Biliary Cell-derived Organoids From Bile of PSC and Non-PSC Patients",,"Recruiting","No Results Available","Primary Sclerosing Cholangitis|PSC|Cholangiocarcinoma",,"Number of participants in study.|Number of samples (per type)|Number of clinical phenotypes and/or observations.","Mayo Clinic|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","18 Years to 85 Years   (Adult, Older Adult)",,"300","Other|NIH","Observational","Observational Model: Case-Control|Time Perspective: Prospective","20-012867","March 8, 2021","January 1, 2025","January 1, 2030","February 15, 2021",,"January 10, 2023","Mayo Clinic in Rochester, Rochester, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT04753996"
131,"NCT05532397","Evaluation of ex Vivo Drug Combination Optimization Platform in Recurrent High Grade Astrocytic Glioma",,"Not yet recruiting","No Results Available","Glioma, Astrocytic","Drug: QPOP category 1|Drug: QPOP category 2","Six-month progression-free survival (PFS 6)|Radiological response at follow up MRI|Twelve-month overall survival (OS12)|Number of participant with treatment related haematological and non-haematological toxicities","National University Hospital, Singapore|National University of Singapore","All","21 Years to 99 Years   (Adult, Older Adult)","Not Applicable","10","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","QP/25/05/21","November 2022","December 2024","December 2025","September 8, 2022",,"September 8, 2022","Department of Hematology-Oncology, National University Hospital, Singapore, Singapore|Ng Teng Fong General Hospital, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT05532397"
132,"NCT04986748","Using QPOP to Predict Treatment for Sarcomas and Melanomas",,"Recruiting","No Results Available","Sarcoma|Melanoma",,"Percentage of patients with successful model generation for each tumour subtype.|Rates of radiological response from QPOP-directed treatment regimens.|Survival outcomes from QPOP-directed treatment regimens.","National Cancer Centre, Singapore","All","21 Years to 99 Years   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","Q-SAM","September 8, 2020","October 31, 2028","December 31, 2028","August 3, 2021",,"September 28, 2022","National Cancer Centre Singapore, Singapore, Singapore",,"https://ClinicalTrials.gov/show/NCT04986748"
133,"NCT02695459","Cisplatinum and Everolimus in Patients With Metastatic or Unresectable NEC of Extrapulmonary Origin",,"Active, not recruiting","No Results Available","Neuroendocrine Carcinomas","Drug: cisplatinum and everolimus","disease control rate|time to relapse|overall survival|Effect on the markers chromogranin A (CgA) and neuron-specific enolase (NSE);|Safety of everolimus in combination with cisplatin (AEs according to CTCAE v4.0)","The Netherlands Cancer Institute","All","18 Years and older   (Adult, Older Adult)","Phase 2","39","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","M14NEC","March 30, 2016","April 2021","August 2021","March 1, 2016",,"April 20, 2021","NKI-AVL, Amsterdam, Netherlands|UMCG, Groningen, Netherlands|Erasmus Medisch Centrum, Rotterdam, Netherlands",,"https://ClinicalTrials.gov/show/NCT02695459"
134,"NCT02869802","Prospectively Defining Metastatic Pancreatic Ductal Adenocarcinoma Subtypes by Comprehensive Genomic Analysis","PanGen","Recruiting","No Results Available","Cancer|Pancreatic Cancer","Procedure: Tumour Biopsy|Other: Serial Collection of Plasma and Serum Samples","Number of days between biopsy and return of comprehensive genomic results.|Response Rate|Disease Control Rate|Duration of Response|Progression-Free Survival|Overall Survival","British Columbia Cancer Agency|Terry Fox Research Institute|BC Cancer Foundation|Pancreas Centre BC","All","18 Years and older   (Adult, Older Adult)",,"190","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","H20-02375|H16-00291","October 6, 2016","December 2023","December 2024","August 17, 2016",,"June 22, 2022","Tom Baker Cancer Centre, Calgary, Alberta, Canada|Cross Cancer Institute, Edmonton, Alberta, Canada|BC Cancer - Vancouver, Vancouver, British Columbia, Canada|The Ottawa Hospital, Ottawa, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT02869802"
135,"NCT05630794","Testing ONC201 to Prevent Colorectal Cancer",,"Not yet recruiting","No Results Available","Colorectal Adenomatous Polyp|Colorectal Carcinoma|Familial Adenomatous Polyposis|Multiple Adenomatous Polyps","Procedure: Biopsy|Procedure: Biospecimen Collection|Procedure: Colonoscopy|Drug: Dordaviprone|Other: Questionnaire Administration|Procedure: Sigmoidoscopy","Mean change in human adenoma tumor necrosis factor-related apoptosis-inducing ligand (TRAIL) expression in polyps induced by ONC201|Mean change in normal human mucosa TRAIL expression induced by ONC201|Proportion and severity of treatment emergent adverse events","National Cancer Institute (NCI)","All","18 Years and older   (Adult, Older Adult)","Phase 1","24","NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","NCI-2022-09737|Pending17|UMI22-09-02|P30CA046592|UG1CA242632","May 13, 2023","February 1, 2025","February 1, 2025","November 30, 2022",,"January 4, 2023","University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|Cleveland Clinic Foundation, Cleveland, Ohio, United States|Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States|Rhode Island Hospital, Providence, Rhode Island, United States",,"https://ClinicalTrials.gov/show/NCT05630794"
136,"NCT03358628","Patient-derived Xenograft (PDX) Modeling to Test Drug Response for High-grade Osteosarcoma",,"Not yet recruiting","No Results Available","Osteosarcoma","Other: Molecular Profiling & In Vivo drug testing in PDX","Measure of drug sensitive PDX to a panel of drugs as a predictor of clinical response in matched host","Peking University People's Hospital","All","18 Years to 75 Years   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2017PHB278-01","February 1, 2018","January 31, 2020","January 31, 2025","November 30, 2017",,"November 30, 2017",,,"https://ClinicalTrials.gov/show/NCT03358628"
137,"NCT02718235","Prospective, Multicenter HCCIS Evaluation Study","HCCIS","Unknown status","No Results Available","Hepatocellular Carcinoma","Other: Overall survival","The HCC immune score (HCCIS) is a survival prognosticator of patients after liver resection for HCC|The HCC immune score (HCCIS) to prognosticate disease free survival of patients after liver resection for HCC","University of Regensburg|Else Kröner Fresenius Foundation","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","HCCIS16","June 2016","June 2021","June 2021","March 24, 2016",,"March 24, 2016",,,"https://ClinicalTrials.gov/show/NCT02718235"
138,"NCT04219137","Molecular Characteristics of Gastroesophageal Adenocarcinoma (MOCHA): A Prospective Feasibility Study","MOCHA","Recruiting","No Results Available","Esophagogastric Adenocarcinoma","Genetic: Molecular Profiling","GEA sequencing data and molecular profiling|Establishment of GEA treatment algorithms|Establishment of personalized GEA treatment protocols|GEA BioBank repository|GEA PDO and PDX models","University Health Network, Toronto","All","18 Years and older   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","18-5663","November 14, 2019","November 2021","November 2021","January 6, 2020",,"April 29, 2021","University Health Network, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT04219137"
139,"NCT04045730","The Study of Gemcitabine Plus Nab-Paclitaxel in Combination With Pegvorhyaluronidase Alfa (PVHA; PEGPH20) and Pembrolizumab as Front-line Treatment for Metastatic Pancreatic Adenocarcinoma.",,"Withdrawn","No Results Available","Pancreas Adenocarcinoma","Drug: Gemcitabine","Progression Free Survival (PFS) rate|Overall Survival Rate median|Overall Response Rate (ORR)|Number of patients with treatment related adverse events as assessed by CTCAE v5.0","Yale University","All","18 Years and older   (Adult, Older Adult)","Phase 2","0","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2000024450","November 15, 2019","December 31, 2019","July 31, 2021","August 5, 2019",,"January 9, 2020",,,"https://ClinicalTrials.gov/show/NCT04045730"
