ID,text_all,researched_tumor,tumor_organ,NT_organ,tumor_organ_adjusted
16370,"Cell Membranes from Tumor-Tropic MSCs Screened by a Microfluidic Chip for Drug Nanoparticles Encapsulation and Cancer Targeted Therapy.; cervical cancer and chemotherapy and mesenchymal stem cells and microfluidic screening and tropism; Nanoparticles (NPs)-based drug carriers are effective in reducing systemic toxicity and drug resistance for chemotherapy, and an emerging trend focuses on integrating cell membranes with nanomedicines for tumor targeting. Mesenchymal stem cells (MSCs) are promising candidates due to their unique tropism toward cancer cells, yet the tumor-tropic abilities can differ for MSCs sourced from different tissues. Here, a multichannel microfluidic chip to screen different sourced MSCs with the greatest tropism toward cervical cancer cells is developed. Based on this, the cell membranes from the chorionic plate-derived MSC are isolated and membrane-camouflaged platinum prodrug composite NPs for cervical cancer treatment are prepared. Results demonstrate that the composite NPs can effectively target tumor sites and have a therapeutic effect both in vitro and in vivo. It is believed that the present microfluidic platform is a powerful tool for cell screening and tumor-on-a-chip studies, and the derived nanodelivery system represents the great value of cell membrane-camouflaged nanomedicine for targeted cancer therapy.",cervix,cervix,,ok
16617,"Fibroblasts Impair Migration and Antitumor Activity of NK-92 Lymphocytes in a Melanoma-on-Chip Model.; Adoptive cell therapy and melanoma and tumor-on-chip; Adoptive cell therapy in solid tumors, such as melanoma, is impaired, but little is known about the role that the fibroblasts present in the tumor microenvironment could exert. However, the mechanism at play is not well understood, partly due to the lack of relevant pre-clinical models. Three-dimensional culture and microfluidic chips are used to recapitulate the dynamic interactions among different types of cells in the tumor microenvironment in controlled and physiological settings. In this brief report, we propose a reductionist melanoma-on-a-chip model for evaluating the essential role of fibroblasts in the antitumor activity of lymphocytes. To this end, 3D melanoma spheroids were monocultured and co-cultured with human dermal fibroblasts and the NK-92 cell migration towards the tumor compartment was tested in a commercially available microfluidic device. Utilizing confocal microscopy, we observed the different recruitment of NK-92 cells in the presence and absence of fibroblasts. Our results show that fibroblasts' presence inhibits immune effector recruiting by exploiting a 3D pre-clinical tumor model.",dermal,dermal,,ok
17156,"Genomic profiling and pre-clinical modelling of breast cancer leptomeningeal metastasis (BCLM) reveals acquisition of a lobular-like phenotype; NA; With a median survival of 4 months, the development of breast cancer leptomeningeal metastasis (BCLM) is devastating for patients. Investigating this often occult disease process is hampered by the difficulty of accessing leptomeningeal tumour material. Here, we utilise cerebrospinal fluid as a source of both cell-free DNA (cfDNA) and disseminated tumour cells, to explore the evolution of BCLM and heterogeneity between leptomeningeal and extracranial sites. CSF cfDNA sequencing detected actionable somatic alterations in 81\% (17/21) of BCLM cases. Further genomic characterisation identified frequently altered genes involved in cell adherens junctions and cytoskeleton/chemotaxis pathways. Patient-derived organoids established from CSF tumour cells allowed profiling of this rarely available biological material, in addition to therapeutic testing and generation of in vivo models. Together these data reveal the development of BCLM is associated with the acquisition of a lobular-like breast cancer phenotype, and highlight potential approaches for tackling this hard-to-treat form of metastatic disease.",choroid plexus,choroid plexus,,ok
17156,"Genomic profiling and pre-clinical modelling of breast cancer leptomeningeal metastasis (BCLM) reveals acquisition of a lobular-like phenotype; NA; With a median survival of 4 months, the development of breast cancer leptomeningeal metastasis (BCLM) is devastating for patients. Investigating this often occult disease process is hampered by the difficulty of accessing leptomeningeal tumour material. Here, we utilise cerebrospinal fluid as a source of both cell-free DNA (cfDNA) and disseminated tumour cells, to explore the evolution of BCLM and heterogeneity between leptomeningeal and extracranial sites. CSF cfDNA sequencing detected actionable somatic alterations in 81\% (17/21) of BCLM cases. Further genomic characterisation identified frequently altered genes involved in cell adherens junctions and cytoskeleton/chemotaxis pathways. Patient-derived organoids established from CSF tumour cells allowed profiling of this rarely available biological material, in addition to therapeutic testing and generation of in vivo models. Together these data reveal the development of BCLM is associated with the acquisition of a lobular-like breast cancer phenotype, and highlight potential approaches for tackling this hard-to-treat form of metastatic disease.",mammary,choroid plexus,,ok
17570,"Bioengineering of a tumour-stroma 3D-tumouroid co-culture model of hypopharyngeal cancer.; 3D-tumouroid co-culture and Head and neck cancer and Hypopharyngeal cancer and Immunotherapy and Radiotherapy and Tumour-stroma; Head and neck cancer (HNC) differs at anatomical sites and hypopharyngeal cancer (HPC) is a type of HNC. The non-surgical treatment option for advanced cases of HPC is radiotherapy (RT) with or without chemotherapy but survival is poor. Thus, new treatment approaches in combination with RT are essential. Yet, obtaining post-RT treated tumour specimens and lack of animal models with identical anatomical sites are the major translational research barriers. To overcome these barriers, for the first time, we have developed a tumour-stroma based in vitro three-dimensional (3D)-tumouroid co-culture model of HPC by growing FaDu and HS-5 cells together to mimic the complex tumour-microenvironment in a Petri dish. Before growing the cells together, imaging flow cytometry revealed distinct epithelial and non-epithelial characteristics of the cells. Growth rate of the 3D-tumouroid co-culture was significantly higher compared to the tumouroid monoculture of FaDu. Histology and morphometric analysis were done for the characterisation as well as the development of hypoxia was measured by CAIX immunostaining in this 3D-tumouroid co-culture. Taken together, this innovative in vitro 3D model of HPC resembles many features of the original tumour. The wider application of this pre-clinical research tool is in understanding newer combination (e.g. immunotherapy) treatment approaches with RT in HPC and beyond.",hypopharynx,hypopharynx,,ok
17570,"Bioengineering of a tumour-stroma 3D-tumouroid co-culture model of hypopharyngeal cancer.; 3D-tumouroid co-culture and Head and neck cancer and Hypopharyngeal cancer and Immunotherapy and Radiotherapy and Tumour-stroma; Head and neck cancer (HNC) differs at anatomical sites and hypopharyngeal cancer (HPC) is a type of HNC. The non-surgical treatment option for advanced cases of HPC is radiotherapy (RT) with or without chemotherapy but survival is poor. Thus, new treatment approaches in combination with RT are essential. Yet, obtaining post-RT treated tumour specimens and lack of animal models with identical anatomical sites are the major translational research barriers. To overcome these barriers, for the first time, we have developed a tumour-stroma based in vitro three-dimensional (3D)-tumouroid co-culture model of HPC by growing FaDu and HS-5 cells together to mimic the complex tumour-microenvironment in a Petri dish. Before growing the cells together, imaging flow cytometry revealed distinct epithelial and non-epithelial characteristics of the cells. Growth rate of the 3D-tumouroid co-culture was significantly higher compared to the tumouroid monoculture of FaDu. Histology and morphometric analysis were done for the characterisation as well as the development of hypoxia was measured by CAIX immunostaining in this 3D-tumouroid co-culture. Taken together, this innovative in vitro 3D model of HPC resembles many features of the original tumour. The wider application of this pre-clinical research tool is in understanding newer combination (e.g. immunotherapy) treatment approaches with RT in HPC and beyond.",hypopharynx,,respiratory,ok
17679,"Establishment of an experimental model of canine malignant mesothelioma organoid culture using a three-dimensional culture method.; Cell adhesion and Dogs and EMT and Organoids and Pleural mesothelioma and RNA-seq; Canine malignant mesothelioma (cMM) is a rare and drug-resistant malignant tumor. Due to few patients and experimental models, there have not been enough studies to demonstrate the pathogenesis of the disease and novel effective treatment for cMM. Since cMM resembles human MM (hMM) in histopathological characteristics, it is also considered a promising research model of hMM. Compared with conventional 2-dimensional (2D) culture methods, 3-dimensional (3D) organoid culture can recapitulate the properties of original tumor tissues. However, cMM organoids have never been developed. In the present study, we for the first time generated cMM organoids using the pleural effusion samples. Organoids from individual MM dogs were successfully generated. They exhibited the characteristics of MM and expressed mesothelial cell markers, such as WT-1 and mesothelin. The sensitivity to anti-cancer drugs was different in each strain of cMM organoids. RNA sequencing analysis showed cell adhesion molecule pathways were specifically upregulated in cMM organoids compared with their corresponding 2D cultured cells. Among these genes, the expression level of E-cadherin was drastically higher in the organoids than that in the 2D cells. In conclusion, our established cMM organoids might become a new experimental tool to provide new insights into canine and human MM therapy.",pleura,pleura,,ok
17687,"Novel organoid construction strategy for non-involuting congenital hemangioma for drug validation.; Drug validation and Non-involuting congenital hemangiomas and Patient-derived organoids and Vascular tumor; BACKGROUND: Non-involuting congenital hemangiomas (NICHs) are fully formed vascular tumors at birth with distinctive clinical, radiologic, and histopathological profiles. In the literature, there is no effective therapy strategy for patients with NICH except surgery. Currently, no cell line or animal model exists for studying the mechanism of NICH and drug validation. We plan to construct a new strategy by constructing NICH organoids for further study. RESULT: Here, we report a novel NICH organoid system construction and optimization process. Both HE and immunohistological staining exactly matched NICH tissue. We further performed transcriptome analysis to elucidate the characteristics of NICH organoids. Both NICH tissue and NICH organoids manifested similar trends in download sites. NICH organoids display novel features to new cells derived from organoids and show spectacular multiplication capacity. In the preliminary verification, we found that cells splitting from NICH organoids were human endothelial cells. Drug validation demonstrated that trametinib, sirolimus, and propranolol showed no inhibitory effects on NICH organoids. CONCLUSION: Our data show that this new NICH-derived organoid faithfully captured the features of this rare vascular tumor. Our study will boost further research on the mechanism of NICH and drug filtering in the future.",vascular,vascular,,ok
17837,"Sunitinib efficacy with minimal toxicity in patient-derived retinoblastoma organoids.; Drug screening and Organoid and Retinal toxicity and Retinoblastoma and Sunitinib; BACKGROUND: Recurrence of retinoblastoma (RB) following chemoreduction is common and is often managed with local (intra-arterial/intravitreal) chemotherapy. However, some tumors are resistant to even local administration of maximum feasible drug dosages, or effective tumor control and globe preservation may be achieved at the cost of vision loss due to drug-induced retinal toxicity. The aim of this study was to identify drugs with improved antitumor activity and more favorable retinal toxicity profiles via screening of potentially repurposable FDA-approved drugs in patient-derived tumor organoids. METHODS: Genomic profiling of five RB organoids and the corresponding parental tissues was performed. RB organoids were screened with 133 FDA-approved drugs, and candidate drugs were selected based on cytotoxicity and potency. RNA sequencing was conducted to generate a drug signature from RB organoids, and the effects of drugs on cell cycle progression and proliferative tumor cone restriction were examined. Drug toxicity was assessed with human embryonic stem cell-derived normal retinal organoids. The efficacy/toxicity profiles of candidate drugs were compared with those of drugs in clinical use. RESULTS: RB organoids maintained the genomic features of the parental tumors. Sunitinib was identified as highly cytotoxic against both classical RB1-deficient and novel MYCN-amplified RB organoids and inhibited proliferation while inducing differentiation in RB. Sunitinib was a more effective suppressor of proliferative tumor cones in RB organoids and had lower toxicity in normal retinal organoids than either melphalan or topotecan. CONCLUSION: The efficacy and retinal toxicity profiles of sunitinib suggest that it could potentially be repurposed for local chemotherapy of RB.",retina,retina,,ok
18026,"Combined Targeting of Pathogenetic Mechanisms in Pancreatic Neuroendocrine Tumors Elicits Synergistic Antitumor Effects.; buparlisib and combination therapy and pancreatic NETs and primary human tumoroids and ribociclib; Pancreatic neuroendocrine neoplasms (PanNENs) are the second most common malignancy of the pancreas. Surgery remains the only curative treatment for localized disease. For patients with inoperable advanced or metastatic disease, few targeted therapies are available, but their efficacy is unpredictable and variable. Exploiting prior knowledge on pathogenetic processes involved in PanNEN tumorigenesis, we tested buparlisib (PI3K inhibitor) and ribociclib (CDK4/6 inhibitor), as single agents or in combination, in different preclinical models. First, we used cell lines representative of well-differentiated (INS-1E, NT-3) and poorly differentiated (BON-1) PanNENs. The combination of buparlisib with ribociclib reduced the proliferation of 2D and 3D spheroid cultures more potently than the individual drugs. Buparlisib, but not ribociclib, induced apoptosis. The anti-proliferative activity of the drugs correlated with downstream target inhibition at mRNA and protein levels. We then tested the drugs on primary islet microtissues from a genetic PanNET animal model (Men1-defective mice) and from wild-type mice: the drug combination was effective against the former without altering islet cell physiology. Finally, we treated PanNET patient-derived islet-like 3D tumoroids: the combination of buparlisib with ribociclib was effective in three out of four samples. Combined targeting of PI3K and CDK4/6 is a promising strategy for PanNENs spanning various molecular and histo-pathological features.",pancreas,islet,,ok
18103,"Long-term organoid culture of a small intestinal neuroendocrine tumor.; 3D culture and neuroendocrine tumor and organoids and preclinical model and small intestinal tumor; Gastroenteropancreatic neuroendocrine tumors (GEP-NETs) are rare and highly heterogeneous neoplasms whose incidence has markedly increased over the last decades. A grading system based on the tumor cells' proliferation index predicts high-risk for G3 NETs. However, low-to-intermediate grade (G1/G2) NETs have an unpredictable clinical course that varies from indolent to highly malignant. Cultures of human cancer cells enable to perform functional perturbation analyses that are instrumental to enhance our understanding of cancer biology. To date, no tractable and reliable long-term culture of G1/G2 NET has been reported to permit disease modeling and pharmacological screens. Here, we report of the first long-term culture of a G2 metastatic small intestinal NET that preserves the main genetic drivers of the tumor and retains expression patterns of the endocrine cell lineage. Replicating the tissue, this long-term culture showed a low proliferation index, and yet it could be propagated continuously without dramatic changes in the karyotype. The model was readily available for pharmacological screens using targeted agents and as expected, showed low tumorigenic capacity in vivo. Overall, this is the first long-term culture of NETs to faithfully recapitulate many aspects of the original neuroendocrine tumor.",small intestine,,neuroendocrine,ok
18103,"Long-term organoid culture of a small intestinal neuroendocrine tumor.; 3D culture and neuroendocrine tumor and organoids and preclinical model and small intestinal tumor; Gastroenteropancreatic neuroendocrine tumors (GEP-NETs) are rare and highly heterogeneous neoplasms whose incidence has markedly increased over the last decades. A grading system based on the tumor cells' proliferation index predicts high-risk for G3 NETs. However, low-to-intermediate grade (G1/G2) NETs have an unpredictable clinical course that varies from indolent to highly malignant. Cultures of human cancer cells enable to perform functional perturbation analyses that are instrumental to enhance our understanding of cancer biology. To date, no tractable and reliable long-term culture of G1/G2 NET has been reported to permit disease modeling and pharmacological screens. Here, we report of the first long-term culture of a G2 metastatic small intestinal NET that preserves the main genetic drivers of the tumor and retains expression patterns of the endocrine cell lineage. Replicating the tissue, this long-term culture showed a low proliferation index, and yet it could be propagated continuously without dramatic changes in the karyotype. The model was readily available for pharmacological screens using targeted agents and as expected, showed low tumorigenic capacity in vivo. Overall, this is the first long-term culture of NETs to faithfully recapitulate many aspects of the original neuroendocrine tumor.",small intestine,small intestine,,ok
18361,"Reconstruct Human Retinoblastoma In Vitro.; NA; Human RB is pediatric cancer, which is lethal if no treatment is administered. As RB originates from cone precursors, which is relatively rare in rodent models, meanwhile regarding the interspecies differences between humans and rodents, a disease model derived from humans is more beneficial for uncovering the mechanisms of human RB and seeking the targets of therapy. Herein, the protocol describes the generation of two gene-edited hESC lines with a biallelic RB1 point mutation (RB1(Mut/Mut)) and an RB1 knockout mutation (RB1(-/-)), respectively. During the process of retinal development, the formation of RB is observed. The RB cell lines are also established by segregating from the RB organoids. Altogether, by differentiating the gene-edited hESC lines into the retinal organoids using a 2D and 3D combined differentiation protocol, we have successfully reconstructed the human RB in a dish and identified its cone-precursor origin. It would provide a helpful disease model for observing the retinoblastoma genesis, proliferation, and growth as well as further developing novel therapeutic agents.",retina,retina,,ok
18379,"Modeling resistance of colorectal peritoneal metastases to immune checkpoint blockade in humanized mice.; B-lymphocytes and CTLA-4 antigen and immunotherapy and programmed cell death 1 receptor and tumor microenvironment; BACKGROUND: The immunogenic nature of metastatic colorectal cancer (CRC) with high microsatellite instability (MSI-H) underlies their responsiveness to immune checkpoint blockade (ICB). However, resistance to ICB is commonly observed, and is associated with the presence of peritoneal-metastases and ascites formation. The mechanisms underlying this site-specific benefit of ICB are unknown. METHODS: We created a novel model for spontaneous multiorgan metastasis in MSI-H CRC tumors by transplanting patient-derived organoids (PDO) into the cecum of humanized mice. Anti-programmed cell death protein-1 (PD-1) and anti-cytotoxic T-lymphocytes-associated protein 4 (CTLA-4) ICB treatment effects were analyzed in relation to the immune context of primary tumors, liver metastases, and peritoneal metastases. Immune profiling was performed by immunohistochemistry, flow cytometry and single-cell RNA sequencing. The role of B cells was assessed by antibody-mediated depletion. Immunosuppressive cytokine levels (interleukin (IL)-10, transforming growth factor (TGF)b1, TGFb2, TGFb3) were determined in ascites and serum samples by ELISA. RESULTS: PDO-initiated primary tumors spontaneously metastasized to the liver and the peritoneum. Peritoneal-metastasis formation was accompanied by the accumulation of ascites. ICB completely cleared liver metastases and reduced primary tumor mass but had no effect on peritoneal metastases. This mimics clinical observations. After therapy discontinuation, primary tumor masses progressively decreased, but peritoneal metastases displayed unabated growth. Therapy efficacy correlated with the formation of tertiary lymphoid structures (TLS)-containing B cells and juxtaposed T cells-and with expression of an interferon- signature together with the B cell chemoattractant CXCL13. B cell depletion prevented liver-metastasis clearance by anti-CTLA-4 treatment. Peritoneal metastases were devoid of B cells and TLS, while the T cells in these lesions displayed a dysfunctional phenotype. Ascites samples from patients with cancer with peritoneal metastases and from the mouse model contained significantly higher levels of IL-10, TGFb1, TGFb2 and TGFb3 than serum samples. CONCLUSIONS: By combining organoid and humanized mouse technologies, we present a novel model for spontaneous multiorgan metastasis by MSI-H CRC, in which the clinically observed organ site-dependent benefit of ICB is recapitulated. Moreover, we provide empirical evidence for a critical role for B cells in the generation of site-dependent antitumor immunity following anti-CTLA-4 treatment. High levels of immunosuppressive cytokines in ascites may underlie the observed resistance of peritoneal metastases to ICB.",large intestine,caecum,,large intestine
18546,"Combinatorial treatment rescues tumour-microenvironment-mediated attenuation of MALT1 inhibitors in B-cell lymphomas.; NA; Activated B-cell-like diffuse large B-cell lymphomas (ABC-DLBCLs) are characterized by constitutive activation of nuclear factor B driven by the B-cell receptor (BCR) and Toll-like receptor (TLR) pathways. However, BCR-pathway-targeted therapies have limited impact on DLBCLs. Here we used >1,100 DLBCL patient samples to determine immune and extracellular matrix cues in the lymphoid tumour microenvironment (Ly-TME) and built representative synthetic-hydrogel-based B-cell-lymphoma organoids accordingly. We demonstrate that Ly-TME cellular and biophysical factors amplify the BCR-MYD88-TLR9 multiprotein supercomplex and induce cooperative signalling pathways in ABC-DLBCL cells, which reduce the efficacy of compounds targeting the BCR pathway members Bruton tyrosine kinase and mucosa-associated lymphoid tissue lymphoma translocation protein 1 (MALT1). Combinatorial inhibition of multiple aberrant signalling pathways induced higher antitumour efficacy in lymphoid organoids and implanted ABC-DLBCL patient tumours in vivo. Our studies define the complex crosstalk between malignant ABC-DLBCL cells and Ly-TME, and provide rational combinatorial therapies that rescue Ly-TME-mediated attenuation of treatment response to MALT1 inhibitors.",lymphoid,lymphoid,,ok
18878,"Nasopharyngeal carcinoma cells promote regulatory T cell development and suppressive activity via CD70-CD27 interaction.; NA; Despite the intense CD8+ T-cell infiltration in the tumor microenvironment of nasopharyngeal carcinoma, anti-PD-1 immunotherapy shows an unsatisfactory response rate in clinical trials, hindered by immunosuppressive signals. To understand how microenvironmental characteristics alter immune homeostasis and limit immunotherapy efficacy in nasopharyngeal carcinoma, here we establish a multi-center single-cell cohort based on public data, containing 357,206 cells from 50 patient samples. We reveal that nasopharyngeal carcinoma cells enhance development and suppressive activity of regulatory T cells via CD70-CD27 interaction. CD70 blocking reverts Treg-mediated suppression and thus reinvigorate CD8+ T-cell immunity. Anti-CD70+ anti-PD-1 therapy is evaluated in xenograft-derived organoids and humanized mice, exhibiting an improved tumor-killing efficacy. Mechanistically, CD70 knockout inhibits a collective lipid signaling network in CD4+ nave and regulatory T cells involving mitochondrial integrity, cholesterol homeostasis, and fatty acid metabolism. Furthermore, ATAC-Seq delineates that CD70 is transcriptionally upregulated by NFKB2 via an Epstein-Barr virus-dependent epigenetic modification. Our findings identify CD70+ nasopharyngeal carcinoma cells as a metabolic switch that enforces the lipid-driven development, functional specialization and homeostasis of Tregs, leading to immune evasion. This study also demonstrates that CD70 blockade can act synergistically with anti-PD-1 treatment to reinvigorate T-cell immunity against nasopharyngeal carcinoma.",nasopharynx,nasopharynx,,ok
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",brain,brain,,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",blood,brain,,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",brain,,blood-brain barrier,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",blood,,blood-brain barrier,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",brain,,neurovascular unit,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",blood,,neurovascular unit,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",brain,blood,,brain
19125,"An overview of in vitro 3D models of the blood-brain barrier as a tool to predict the in vivo permeability of nanomedicines.; BBB-on-a-chip and Central nervous system and Glioblastoma multiforme, neuroinflammation, nanoparticles, blood-brain tumour and barrier and Microfluidics and Neurovascular unit and Organoid and Spheroid; The blood-brain barrier (BBB) prevents efficient drug delivery to the central nervous system. As a result, brain diseases remain one of the greatest unmet medical needs. Understanding the tridimensional structure of the BBB helps gain insight into the pathology of the BBB and contributes to the development of novel therapies for brain diseases. Therefore, 3D models with an ever-growing sophisticated complexity are being developed to closely mimic the human neurovascular unit. Among these 3D models, hydrogel-, spheroid- and organoid-based static BBB models have been developed, and so have microfluidic-based BBB-on-a-chip models. The different 3D preclinical models of the BBB, both in health and disease, are here reviewed, from their development to their application for permeability testing of nanomedicines across the BBB, discussing the advantages and disadvantages of each model. The validation with data from in vivo preclinical data is also discussed in those cases where provided.",blood,blood,,brain
19207,"The predictive capacity of in vitro preclinical models to evaluate drugs for the treatment of retinoblastoma.; Drug discovery and Retinoblastoma and Three-dimensional models and Tumour organoids; Retinoblastoma is a rare childhood cancer of the eye. Of the small number of drugs are used to treat retinoblastoma, all have been repurposed from drugs developed for other conditions. In order to find drugs or drug combinations better suited to the improved treatment of retinoblastoma, reliable predictive models are required, which facilitate the challenging transition from in vitro studies to clinical trials. In this review, the research performed to date on the development of 2D and 3D in vitro models for retinoblastoma is presented. Most of this research was undertaken with a view to better biological understanding of retinoblastoma, and we discuss the potential for these models to be applied to drug screening. Future research directions for streamlined drug discovery are considered and evaluated, and many promising avenues identified.",retina,retina,,ok
